Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Danner N., Licata D.R., Ramyaa R.","14017877500;18437411800;36180114200;","Denotational cost semantics for functional languages with inductive types",2015,"Proceedings of the ACM SIGPLAN International Conference on Functional Programming, ICFP","2015-August",,,"140","151",,30,"10.1145/2784731.2784749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957670461&doi=10.1145%2f2784731.2784749&partnerID=40&md5=429ecae862fd647ac0da78589dc0a2e3","A central method for analyzing the asymptotic complexity of a functional program is to extract and then solve a recurrence that expresses evaluation cost in terms of input size. The relevant notion of input size is often specific to a datatype, with measures including the length of a list, the maximum element in a list, and the height of a tree. In this work, we give a formal account of the extraction of cost and size recurrences from higher-order functional programs over inductive datatypes. Our approach allows a wide range of programmer-specified notions of size, and ensures that the extracted recurrences correctly predict evaluation cost. To extract a recurrence from a program, we first make costs explicit by applying a monadic translation from the source language to a complexity language, and then abstract datatype values as sizes. Size abstraction can be done semantically, working in models of the complexity language, or syntactically, by adding rules to a preorder judgement. We give several different models of the complexity language, which support different notions of size. Additionally, we prove by a logical relations argument that recurrences extracted by this process are upper bounds for evaluation cost; the proof is entirely syntactic and therefore applies to all of the models we consider.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84957670461
"Czajka U.","57132867700;","Confluence of nearly orthogonal infinitary term rewriting systems",2015,"Leibniz International Proceedings in Informatics, LIPIcs","36",,,"106","126",,2,"10.4230/LIPIcs.RTA.2015.106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958964649&doi=10.4230%2fLIPIcs.RTA.2015.106&partnerID=40&md5=fdf453132be730765793c5720dec64bc","terms, of nearly orthogonal infinitary term rewriting systems. Nearly orthogonal systems allow certain root overlaps, but no non-root overlaps. Using a slightly more complicated method we also show confluence modulo equivalence of hypercollapsing terms. The condition we impose on root overlaps is similar to the condition used by Toyama in the context of finitary rewriting. © Lukasz Czajka.",Conference Paper,"Final","",Scopus,2-s2.0-84958964649
"Nakata K., Uustalu T.","35102980400;6602585906;","A hoare logic for the coinductive trace-based big-step semantics of while",2015,"Logical Methods in Computer Science","11","1","1","","",32,5,"10.2168/LMCS-11(1:1)2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927614414&doi=10.2168%2fLMCS-11%281%3a1%292015&partnerID=40&md5=05ed95784920c78b4fdf401d2b236930","In search for a foundational framework for reasoning about observable behavior of programs that may not terminate, we have previously devised a trace-based big-step semantics for While. In this semantics, both traces and evaluation (relating initial states of program runs to traces they produce) are defined coinductively. On terminating runs, this semantics agrees with the standard inductive state-based semantics. Here we present a Hoare logic counterpart of our coinductive trace-based semantics and prove it sound and complete. Our logic subsumes the standard partial-correctness state-based Hoare logic as well as the total-correctness variation: they are embeddable. In the converse direction, projections can be constructed: a derivation of a Hoare triple in our trace-based logic can be translated into a derivation in the state-based logic of a translated, weaker Hoare triple. Since we work with a constructive underlying logic, the range of program properties we can reason about has a fine structure; in particular, we can distinguish between termination and nondivergence, e.g., unbounded classically total search fails to be terminating, but is nonetheless nondivergent. Our metatheory is entirely constructive as well, and we have formalized it in Coq. © K. Nakata and T. Uustalu.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84927614414
"Bodin M., Jensen T., Schmitt A.","54787341400;7401539622;8863229600;","Certified abstract interpretation with pretty-big-step semantics",2015,"CPP 2015 - Proceedings of the 2015 ACM Conference on Certified Programs and Proofs, co-located with POPL 2015",,,,"29","40",,5,"10.1145/2676724.2693174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967263021&doi=10.1145%2f2676724.2693174&partnerID=40&md5=d3f7960f6b9aebf669eae25a2082bac4","This paper describes an investigation into developing certified abstract interpreters from big-step semantics using the Coq proof assistant. We base our approach on Schmidt's abstract interpretation principles for natural semantics, and use a pretty-big-step (PBS) semantics, a semantic format proposed by Charguéraud. We propose a systematic representation of the PBS format and implement it in Coq. We then show how the semantic rules can be abstracted in a methodical fashion, independently of the chosen abstract domain, to produce a set of abstract inference rules that specify an abstract interpreter. We prove the correctness of the abstract interpreter in Coq once and for all, under the assumption that abstract operations faithfully respect the concrete ones. We finally show how to define correct-by-construction analyses: their correction amounts to proving they belong to the abstract semantics. © 2015 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84967263021
"Ramananandro T., Shao Z., Weng S.-C., Koenig J., Fu Y.","23028657400;7202244357;23399143500;56486983900;57189267878;","A compositional semantics for verified separate compilation and linking",2015,"CPP 2015 - Proceedings of the 2015 ACM Conference on Certified Programs and Proofs, co-located with POPL 2015",,,,"3","14",,13,"10.1145/2676724.2693167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966925849&doi=10.1145%2f2676724.2693167&partnerID=40&md5=460cbaff4b50e15744d0ae55996e9d45","Recent ground-breaking efforts such as CompCert have made a convincing case that mechanized verification of the compiler correctness for realistic C programs is both viable and practical. Unfortunately, existing verified compilers can only handle whole programs-this severely limits their applicability and prevents the linking of verified C programs with verified external libraries. In this paper, we present a novel compositional semantics for reasoning about open modules and for supporting verified separate compilation and linking. More specifically, we replace external function calls with explicit events in the behavioral semantics. We then develop a verified linking operator that makes lazy substitutions on (potentially reacting) behaviors by replacing each external function call event with a behavior simulating the requested function. Finally, we show how our new semantics can be applied to build a refinement infrastructure that supports both vertical composition and horizontal composition. © 2015 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84966925849
"Poulsen C.B., Mosses P.D., Torrini P.","56592138600;6701810942;35868255000;","Imperative polymorphism by store-based types as abstract interpretations",2015,"PEPM 2015 - Proceedings of the 2015 ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation, co-located with POPL 2015",,,,"3","8",,1,"10.1145/2678015.2682545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966731069&doi=10.1145%2f2678015.2682545&partnerID=40&md5=b27187262dcbbe9a8d31cfba362d0e7a","Dealing with polymorphism in the presence of imperative features is a long-standing open problem for Hindley-Milner type systems. A widely adopted approach is the value restriction, which inhibits polymorphic generalisation and unfairly rejects various programs that cannot go wrong. We consider abstract interpretation as a tool for constructing safe and precise type systems, and investigate how to derive store-based types by abstract interpretation. We propose store-based types as a type discipline that holds potential for interesting and flexible alternatives to the value restriction. © 2015 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84966731069
"Corradi A., Frassetto F.","36924831900;57008863300;","Infinite derivations as failures",2015,"CEUR Workshop Proceedings","1459",,,"19","24",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950323777&partnerID=40&md5=e79b0e3ab84117dd64fcd06151290b99","When operating on cyclic data, programmers have to take care in assuring that their programs will terminate; in our opinion, this is a task for the interpreter. We present a Prolog meta-interpreter that checks for the presence of cyclic computations at runtime and returns a failure if this is the case, thus allowing inductive predicates to properly deal with cyclic terms.",Conference Paper,"Final","",Scopus,2-s2.0-84950323777
"Wang P., Cuellar S., Chlipala A.","56395609700;56396834600;10041238300;","Compiler verification meets cross-language linking via data abstraction",2014,"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",,,,"675","690",,24,"10.1145/2660193.2660201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908304669&doi=10.1145%2f2660193.2660201&partnerID=40&md5=cb4f20a19c249bc890dab16a41139b81","Many real programs are written in multiple different programming languages, and supporting this pattern creates challenges for formal compiler verification.We describe our Coq verification of a compiler for a high-level language, such that the compiler correctness theorem allows us to derive partial-correctness Hoare-logic theorems for programs built by linking the assembly code output by our compiler and assembly code produced by other means. Our compiler supports such tricky features as storable cross-language function pointers, without giving up the usual benefits of being able to verify different compiler phases (including, in our case, two classic optimizations) independently. The key technical innovation is a mixed operational and axiomatic semantics for the source language, with a built-in notion of abstract data types, such that compiled code interfaces with other languages only through axiomatically specified methods that mutate encapsulated private data, represented in whatever formats are most natural for those languages. Copyright 2014 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84908304669
"Rodríguez L., Fridlender D., Pagano M.","56378353700;55862105200;35113727800;","A certified extension of the krivine machine for a call-by-name higher-order imperative language",2014,"Leibniz International Proceedings in Informatics, LIPIcs","26",,,"230","250",,1,"10.4230/LIPIcs.TYPES.2013.230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907791456&doi=10.4230%2fLIPIcs.TYPES.2013.230&partnerID=40&md5=decd87eb39831ce9b2d8a8821cff114e","In this paper we present a compiler that translates programs from an imperative higher-order language into a sequence of instructions for an abstract machine. We consider an extension of the Krivine machine for the call-by-name lambda calculus, which includes strict operators and imperative features. We show that the compiler is correct with respect to the big-step semantics of our language, both for convergent and divergent programs. © Leonardo Rodríguez, Daniel Fridlender, and Miguel Pagano.",Conference Paper,"Final","",Scopus,2-s2.0-84907791456
"Kumar R., Myreen M.O., Norrish M., Owens S.","56329415700;23088605400;15832391000;7102978424;","CakeML: A verified implementation of ML",2014,"Conference Record of the Annual ACM Symposium on Principles of Programming Languages",,,,"179","191",,157,"10.1145/2535838.2535841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893441789&doi=10.1145%2f2535838.2535841&partnerID=40&md5=86ca5402bac18a7f6545acf6a0946b17","We have developed and mechanically verified an ML system called CakeML, which supports a substantial subset of Standard ML. CakeML is implemented as an interactive read-eval-print loop (REPL) in x86-64 machine code. Our correctness theorem ensures that this REPL implementation prints only those results permitted by the semantics of CakeML. Our verification effort touches on a breadth of topics including lexing, parsing, type checking, incremental and dynamic compilation, garbage collection, arbitrary-precision arithmetic, and compiler bootstrapping. Our contributions are twofold. The first is simply in building a system that is end-to-end verified, demonstrating that each piece of such a verification effort can in practice be composed with the others, and ensuring that none of the pieces rely on any over-simplifying assumptions. The second is developing novel approaches to some of the more challenging aspects of the verification. In particular, our formally verified compiler can bootstrap itself: we apply the verified compiler to itself to produce a verified machine-code implementation of the compiler. Additionally, our compiler proof handles diverging input programs with a lightweight approach based on logical timeout exceptions. The entire development was carried out in the HOL4 theorem prover. © 2014 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84893441789
"Kumar R., Myreen M.O., Norrish M., Owens S.","56329415700;23088605400;15832391000;7102978424;","CakeML: A verified implementation of ML",2014,"ACM SIGPLAN Notices","49","1",,"179","191",,42,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894044866&partnerID=40&md5=336e67234aeb5f6f1e466460055795b7","We have developed and mechanically verified an ML system called CakeML, which supports a substantial subset of Standard ML. CakeML is implemented as an interactive read-eval-print loop (REPL) in x86-64 machine code. Our correctness theorem ensures that this REPL implementation prints only those results permitted by the semantics of CakeML. Our verification effort touches on a breadth of topics including lexing, parsing, type checking, incremental and dynamic compilation, garbage collection, arbitraryprecision arithmetic, and compiler bootstrapping. Our contributions are twofold. The first is simply in building a system that is end-to-end verified, demonstrating that each piece of such a verification effort can in practice be composed with the others, and ensuring that none of the pieces rely on any over-simplifying assumptions. The second is developing novel approaches to some of the more challenging aspects of the verification. In particular, our formally verified compiler can bootstrap itself: we apply the verified compiler to itself to produce a verified machine-code implementation of the compiler. Additionally, our compiler proof handles diverging input programs with a lightweight approach based on logical timeout exceptions. The entire development was carried out in the HOL4 theorem prover.",Conference Paper,"Final","",Scopus,2-s2.0-84894044866
"Bartoletti M., Cimoli T., Pinna G.M., Zunino R.","9536042900;55608349600;57198881668;8382815000;","Circular causality in event structures",2014,"Fundamenta Informaticae","134","3-4",,"219","259",,10,"10.3233/FI-2014-1101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912107554&doi=10.3233%2fFI-2014-1101&partnerID=40&md5=3a3192f3ce6b2722def2908f388aac79","We propose a model of events with circular causality, in the form of a conservative extension of Winskel's event structures. We study the relations between this new kind of event structures and Propositional Contract Logic. Provable atoms in the logic correspond to reachable events in our event structures. Furthermore, we show a correspondence between the configurations of this new brand of event structures and the proofs in a fragment of Propositional Contract Logic.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84912107554
"Ancona D.","7003625858;","How to prove type soundness of Java-like languages without forgoing big-step semantics",2014,"Proceedings for FTfJP 2014: The 16th Workshop on Formal Techniques for Java-Like Programs - Co-located with ECOOP 2014",,,,"","",,8,"10.1145/2635631.2635846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907383291&doi=10.1145%2f2635631.2635846&partnerID=40&md5=721fa40c733fc5f84609f3fb774a812c","Small-step operational semantics is the most commonly employed formalism for proving type soundness of statically typed programming languages, because of its ability to distinguish stuck from non-terminating computations, as opposed to big-step operational semantics. Despite this, big-step operational semantics is more abstract, and more useful for specifying interpreters. In previous work we have proposed a new proof technique to prove type soundness of a Java-like language expressed in terms of its big-step operational semantics. However the presented proof is rather involved, since it requires showing that the set of proof trees defining the semantic judgment forms a complete metric space when equipped with a specific distance function. In this paper we propose a more direct and abstract approach that exploits a standard and general compactness property of the metric space of values, that allows approximation of the coinductive big-step semantics in terms of the small-step one; in this way type soundness can be proved by standard mathematical induction. © 2014 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84907383291
"Koskinen E., Terauchi T.","28167568100;7004662755;","Local temporal reasoning",2014,"Proceedings of the Joint Meeting of the 23rd EACSL Annual Conference on Computer Science Logic, CSL 2014 and the 29th Annual ACM/IEEE Symposium on Logic in Computer Science, LICS 2014",,,"59","","",,15,"10.1145/2603088.2603138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905977424&doi=10.1145%2f2603088.2603138&partnerID=40&md5=db903b397ff85619265d185000ce163b","We present the first method for reasoning about temporal logic properties of higher-order, infinite-data programs. By distinguishing between the finite traces and infinite traces in the specification, we obtain rules that permit us to reason about the temporal behavior of program parts via a type-and-effect system, which is then able to compose these facts together to prove the overall target property of the program. The type system alone is strong enough to derive many temporal safety properties using refinement types and temporal effects. We also show how existing techniques can be used as oracles to provide liveness information (e.g. termination) about program parts and that the type-and-effect system can combine this information with temporal safety information to derive nontrivial temporal properties. Our work has application toward verification of higher-order software, as well as modular strategies for procedural programs. Copyright © 2014 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84905977424
"Ancona D., Corradi A.","7003625858;36924831900;","Sound and complete subtyping between coinductive types for object-oriented languages",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8586 LNCS",,,"282","307",,12,"10.1007/978-3-662-44202-9_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905370324&doi=10.1007%2f978-3-662-44202-9_12&partnerID=40&md5=f63bbd6a80f8a7d4958e7c69c3ec0b0f","Structural subtyping is an important notion for effective static type analysis; it can be defined either axiomatically by a collection of subtyping rules, or by means of set inclusion between type interpretations, following the more intuitive approach of semantic subtyping, which allows simpler proofs of the expected properties of the subtyping relation. In object-oriented programming, recursive types are typically interpreted inductively; however, cyclic objects can be represented more precisely by coinductive types. We study semantic subtyping between coinductive types with records and unions, which are particularly interesting for object-oriented programming, and develop and implement a sound and complete top-down direct and effective algorithm for deciding it. To our knowledge, this is the first proposal for a sound and complete top-down direct algorithm for semantic subtyping between coinductive types. © 2014 Springer-Verlag.",Conference Paper,"Final","",Scopus,2-s2.0-84905370324
"Bach Poulsen C., Mosses P.D.","56592138600;6701810942;","Deriving pretty-big-step semantics from small-step semantics",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8410 LNCS",,,"270","289",,11,"10.1007/978-3-642-54833-8_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900564487&doi=10.1007%2f978-3-642-54833-8_15&partnerID=40&md5=cb4b3cd0796a39798136fb810cd8bc90","Big-step semantics for languages with abrupt termination and/or divergence suffer from a serious duplication problem, addressed by the novel 'pretty-big-step' style presented by Charguéraud at ESOP'13. Such rules are less concise than corresponding small-step rules, but they have the same advantages as big-step rules for program correctness proofs. Here, we show how to automatically derive pretty-big-step rules directly from small-step rules by 'refocusing'. This gives the best of both worlds: we only need to write the relatively concise small-step specifications, but our reasoning can be big-step as well as small-step. The use of strictness annotations to derive small-step congruence rules gives further conciseness. © 2014 Springer-Verlag.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-84900564487
"Uustalu T.","6602585906;","Coinductive big-step semantics for concurrency",2013,"Electronic Proceedings in Theoretical Computer Science, EPTCS","137",,,"63","78",,3,"10.4204/EPTCS.137.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954516018&doi=10.4204%2fEPTCS.137.6&partnerID=40&md5=6bcdc3fa6d56d7e62333fa0d2095ffc9","In a paper presented at SOS 2010 [13], we developed a framework for big-step semantics for interactive input-output in combination with divergence, based on coinductive and mixed inductive-coinductive notions of resumptions, evaluation and termination-sensitive weak bisimilarity. In contrast to standard inductively defined big-step semantics, this framework handles divergence properly; in particular, runs that produce some observable effects and then diverge, are not ""lost"". Here we scale this approach for shared-variable concurrency on a simple example language. We develop the metatheory of our semantics in a constructive logic.",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84954516018
"Ancona D.","7003625858;","Regular corecursion in Prolog",2013,"Computer Languages, Systems and Structures","39","4",,"142","162",,17,"10.1016/j.cl.2013.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888431632&doi=10.1016%2fj.cl.2013.05.001&partnerID=40&md5=8cb79c298afa5a9c0744cb8fbe63113d","Corecursion is the ability of defining a function that produces some infinite data in terms of the function and the data itself, as supported by lazy evaluation. However, in languages such as Haskell strict operations fail to terminate even on infinite regular data, that is, cyclic data. Regular corecursion is naturally supported by coinductive Prolog, an extension where predicates can be interpreted either inductively or coinductively, that has proved to be useful for formal verification, static analysis and symbolic evaluation of programs. In this paper we use the meta-programming facilities offered by Prolog to propose extensions to coinductive Prolog aiming to make regular corecursion more expressive and easier to program with. First, we propose a new interpreter to solve the problem of non-terminating failure as experienced with the standard semantics of coinduction (as supported, for instance, in SWI-Prolog). Another problem with the standard semantics is that predicates expressed in terms of existential quantification over a regular term cannot directly defined by coinduction; to this aim, we introduce finally clauses, to allow more flexibility in coinductive definitions. Then we investigate the possibility of annotating arguments of coinductive predicates, to restrict coinductive definitions to a subset of the arguments; this allows more efficient definitions, and further enhance the expressive power of coinductive Prolog. We investigate the effectiveness of such features by showing different example programs manipulating several kinds of cyclic values, ranging from automata and context free grammars to graphs and repeating decimals; the examples show how computations on cyclic values can be expressed with concise and relatively simple programs. The semantics defined by these vanilla meta-interpreters are an interesting starting point for a more mature design and implementation of coinductive Prolog. © 2013 Elsevier Ltd.",Article,"Final","",Scopus,2-s2.0-84888431632
"Ciobâcǎ S.","34869365700;","From small-step semantics to big-step semantics, automatically",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7940 LNCS",,,"347","361",,6,"10.1007/978-3-642-38613-8_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886073046&doi=10.1007%2f978-3-642-38613-8_24&partnerID=40&md5=7310ba57ef845cf4444a18ee9b8730ab","Small-step semantics and big-step semantics are two styles for operationally defining the meaning of programming languages. Small-step semantics are given as a relation between program configurations that denotes one computational step; big-step semantics are given as a relation directly associating to each program configuration the corresponding final configuration. Small-step semantics are useful for making precise reasonings about programs, but reasoning in big-step semantics is easier and more intuitive. When both small-step and big-step semantics are needed for the same language, a proof of the fact that the two semantics are equivalent should also be provided in order to trust that they both define the same language. We show that the big-step semantics can be automatically obtained from the small-step semantics when the small-step semantics are given by inference rules satisfying certain assumptions that we identify. The transformation that we propose is very simple and we show that when the identified assumptions are met, it is sound and complete in the sense that the two semantics are equivalent. For a strict subset of the identified assumptions, we show that the resulting big-step semantics is sound but not necessarily complete. We discuss our transformation on a number of examples. © 2013 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","",Scopus,2-s2.0-84886073046
"Rosu G., Stefanescu A., Ciobaca S., Moore B.M.","6603971839;42162188300;34869365700;37041568100;","One-path reachability logic",2013,"Proceedings - Symposium on Logic in Computer Science",,,"6571568","358","367",,46,"10.1109/LICS.2013.42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883333346&doi=10.1109%2fLICS.2013.42&partnerID=40&md5=ace6a49fcef08a08d595781df2e01988","This paper introduces(one-path) reach ability logic, a language-independent proof system for program verification, which takes an operational semantics as axioms and derivesreach ability rules, which generalize Hoare triples. This system improves on previous work by allowing operational semantics given withconditional* rewrite rules, which are known to support all major styles of operational semantics. In particular, Kahn's big-step and Plot kin's small-step semantic styles are now supported. The reach ability logic proof system is shown sound (i.e., partially correct) and (relatively) complete. Reach ability logic thus eliminates the need to independently define an axiomatic and an operational semantics for each language, and the non-negligible effort to prove the former sound and complete w.r.t. the latter. The soundness result has also been formalized in Coq, allowing reach ability logic derivations to serve as formal proof certificates that rely only on the operational semantics. © 2013 IEEE.",Conference Paper,"Final","",Scopus,2-s2.0-84883333346
"Schäfer M., Sridharan M., Dolby J., Tip F.","26427858100;56248412800;8837002700;57203108250;","Dynamic determinacy analysis",2013,"Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI)",,,,"165","174",,35,"10.1145/2462156.2462168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883088928&doi=10.1145%2f2462156.2462168&partnerID=40&md5=e581e95ae50bdfcfe1c341ac2ec31988","We present an analysis for identifying determinate variables and expressions that always have the same value at a given program point. This information can be exploited by client analyses and tools to, e.g., identify dead code or specialize uses of dynamic language constructs such as eval, replacing them with equivalent static constructs. Our analysis is completely dynamic and only needs to observe a single execution of the program, yet the deter-minacy facts it infers hold for any execution. We present a formal soundness proof of the analysis for a simple imperative language, and a prototype implementation that handles full JavaScript. Finally, we report on two case studies that explored how static analysis for JavaScript could leverage the information gathered by dynamic determinacy analysis. We found that in some cases scalability of static pointer analysis was improved dramatically, and that many uses of runtime code generation could be eliminated. Copyright © 2013 ACM.",Conference Paper,"Final","",Scopus,2-s2.0-84883088928
"Schäfer M., Sridharan M., Dolby J., Tip F.","26427858100;56248412800;8837002700;57203108250;","Dynamic determinacy analysis",2013,"ACM SIGPLAN Notices","48","6",,"165","174",,19,"10.1145/2499370.2462168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880108774&doi=10.1145%2f2499370.2462168&partnerID=40&md5=cc606f15246bc509a386b817743d02ce","We present an analysis for identifying determinate variables and expressions that always have the same value at a given program point. This information can be exploited by client analyses and tools to, e.g., identify dead code or specialize uses of dynamic language constructs such as eval, replacing them with equivalent static constructs. Our analysis is completely dynamic and only needs to observe a single execution of the program, yet the determinacy facts it infers hold for any execution. We present a formal soundness proof of the analysis for a simple imperative language, and a prototype implementation that handles full JavaScript. Finally, we report on two case studies that explored how static analysis for JavaScript could leverage the information gathered by dynamic determinacy analysis. We found that in some cases scalability of static pointer analysis was improved dramatically, and that many uses of runtime code generation could be eliminated.",Conference Paper,"Final","",Scopus,2-s2.0-84880108774
"Danner N., Paykin J., Royer J.S.","14017877500;55582890800;7202753896;","A static cost analysis for a higher-order language",2013,"PLPV 2013 - Proceedings of the 2013 ACM SIGPLAN Workshop on Programming Languages Meets Program Verification, Co-located with POPL 2013",,,,"25","34",,23,"10.1145/2428116.2428123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873419135&doi=10.1145%2f2428116.2428123&partnerID=40&md5=2d2311c17db15e008b8c85705f430c60","We develop a static complexity analysis for a higher-order functional language with structural list recursion. The complexity of an expression is a pair consisting of a cost and a potential. The former is defined to be the size of the expression's evaluation derivation in a standard big-step operational semantics. The latter is a measure of the ""future"" cost of using the value of that expression. A translation function maps target expressions to complexities. Our main result is the following Soundness Theorem: If t is a term in the target language, then the cost component of ktk is an upper bound on the cost of evaluating t. The proof of the Soundness Theorem is formalized in Coq, providing certified upper bounds on the cost of any expression in the target language. Copyright © 2013 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84873419135
"Simmons R.J., Zerny I.","24512533200;33368417500;","A logical correspondence between natural semantics and abstract machines",2013,"Proceedings of the 15th Symposium on Principles and Practice of Declarative Programming, PPDP 2013",,,,"109","119",,1,"10.1145/2505879.2505899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885224877&doi=10.1145%2f2505879.2505899&partnerID=40&md5=85b7fb979a4e67d1ba875a38c3fe12b6","We present a logical correspondence between natural semantics and abstract machines. This correspondence enables the mechanical and fully-correct construction of an abstract machine from a natural semantics. Our logical correspondence mirrors the Reynolds functional correspondence, but we manipulate semantic specifications encoded in a logical framework instead of manipulating functional programs. Natural semantics and abstract machines are instances of substructural operational semantics. As a byproduct, using a substructural logical framework, we bring concurrent and stateful models into the domain of the logical correspondence. © 2013 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84885224877
"Leroy X.","57192117370;","Mechanized semantics for compiler verification",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7705 LNCS",,,"386","388",,9,"10.1007/978-3-642-35182-2_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872241773&doi=10.1007%2f978-3-642-35182-2_27&partnerID=40&md5=ed6ef02f866bfb5589dac08b649e4b75","The formal verification of compilers and related programming tools depends crucially on the availability of appropriate mechanized semantics for the source, intermediate and target languages. In this invited talk, I review various forms of operational semantics and their mechanization, based on my experience with the formal verification of the CompCert C compiler. ©Springer-Verlag 2012.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84872241773
"Nakano K.","35249137000;","Shall we juggle, coinductively?",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7679 LNCS",,,"160","172",,,"10.1007/978-3-642-35308-6_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869852715&doi=10.1007%2f978-3-642-35308-6_14&partnerID=40&md5=6c3a95184d8ac055b03fa5cee4f936cc","Buhler et al. presented a mathematical theory of toss juggling by regarding a toss pattern as an arithmetic function, where the function must satisfy a condition for the pattern to be valid. In this paper, the theory is formalized in terms of coinduction, reflecting the fact that the validity of toss juggling is related to a property of infinite phenomena. A tactic is implemented for proving the validity of toss patterns in Coq. Additionally, the completeness and soundness of a well-known algorithm for checking the validity is demonstrated. The result exposes a practical aspect of coinductive proofs. © 2012 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","",Scopus,2-s2.0-84869852715
"Tollitte P.-N., Delahaye D., Dubois C.","55496616200;8224781000;7103326256;","Producing certified functional code from inductive specifications",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7679 LNCS",,,"76","91",,12,"10.1007/978-3-642-35308-6_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869821055&doi=10.1007%2f978-3-642-35308-6_9&partnerID=40&md5=06f99a93bec02f8b7a225c31e88d0765","Proof assistants based on type theory allow the user to adopt either a functional style, or a relational style (e.g., by using inductive types). Both styles have pros and cons. Relational style may be preferred because it allows the user to describe only what is true, discard momentarily the termination question, and stick to a rule-based description. However, a relational specification is usually not executable. This paper proposes to turn an inductive specification into a functional one, in the logical setting itself, more precisely Coq in this work. We define for a certain class of inductive specifications a way to extract functions from them and automatically produce the proof of soundness of the extracted function w.r.t. its inductive specification. In addition, using user-defined modes which label inputs and outputs, we are able to extract several computational contents from a single inductive type. © 2012 Springer-Verlag Berlin Heidelberg.",Conference Paper,"Final","",Scopus,2-s2.0-84869821055
